% 1. Title: Dota 2 | Hero Attributes
%
% 2. Sources:
%	(a) Creator: Chong-U Lim (culim@mit.edu)
%	(b) Research Group: Imagination, Computation, and Expression Lab (http://icelab.mit.edu)
%	(c) Institution: Massachusetts Institute of Technology (http://mit.edu)
%	(d) Dota 2 Wiki (http://dota2.gamepedia.com/Table_of_Hero_attributes)
%	(e) Date: 2013-11-26 21:40:22.801963
%
@RELATION dota2_heroes

@ATTRIBUTE Hero STRING
@ATTRIBUTE Primary-Attr {Intelligence, Agility, Strength}
@ATTRIBUTE Base-Str NUMERIC
@ATTRIBUTE Str-Growth NUMERIC
@ATTRIBUTE Base-Agi NUMERIC
@ATTRIBUTE Agi-Growth NUMERIC
@ATTRIBUTE Base-Int NUMERIC
@ATTRIBUTE Int-Growth NUMERIC
@ATTRIBUTE Movement-speed NUMERIC
@ATTRIBUTE Starting-Armor NUMERIC
@ATTRIBUTE BAT NUMERIC
@ATTRIBUTE Damage-min NUMERIC
@ATTRIBUTE Damage-max NUMERIC
@ATTRIBUTE Attack-range NUMERIC
@ATTRIBUTE Missile-speed NUMERIC
@ATTRIBUTE Attack-point NUMERIC
@ATTRIBUTE Cast-point NUMERIC
@ATTRIBUTE Day-sight-range NUMERIC
@ATTRIBUTE Night-sight-range NUMERIC
@ATTRIBUTE Turn-rate NUMERIC

@DATA
Abaddon,Strength,23,2.7,17,1.5,21,2,310,1.38,1.7,55,65,128,0,0.56,0.452,1800,800,0.6
Alchemist,Strength,25,1.8,11,1.2,25,1.8,295,1.54,1.7,49,58,128,0,0.35,0.4,1800,1400,0.6
Ancient-Apparition,Intelligence,18,1.4,20,2.2,25,2.6,295,1.8,1.7,44,54,600,1250,0.45,0.01,1800,800,0.6
Anti-Mage,Agility,20,1.2,22,2.8,15,1.8,315,2.08,1.45,49,53,128,0,0.3,0.3,1800,800,0.5
Axe,Strength,25,2.5,20,2.2,18,1.6,290,1.8,1.7,49,53,128,0,0.5,0.3,1800,800,0.6
Bane,Intelligence,22,2.1,22,2.1,22,2.1,315,4.08,1.7,55,61,400,900,0.3,0.5,1800,800,0.6
Batrider,Intelligence,23,2.4,15,1.5,24,2.5,290,2.1,1.7,38,42,375,900,0.5,0.2,1200,800,1
Beastmaster,Strength,23,2.2,18,1.6,16,1.9,310,4.52,1.7,56,60,128,0,0.3,0.5,1800,800,0.4
Bloodseeker,Agility,23,2,24,3,18,1.7,300,3.36,1.7,53,59,128,0,0.43,0.6,1800,800,0.5
Bounty-Hunter,Agility,17,1.8,21,3,19,1.4,315,5.94,1.7,45,59,128,0,0.59,0.3,1800,1000,0.6
Brewmaster,Strength,23,2.9,22,1.95,14,1.25,300,4.08,1.7,52,59,128,0,0.35,0.4,1800,800,0.6
Bristleback,Strength,22,2.2,17,1.8,14,2.8,295,3.38,1.7,52,62,128,0,0.3,0.3,1800,800,1
Broodmother,Agility,17,2.5,18,2.2,18,2,295,2.52,1.7,44,50,128,0,0.4,0.2,1800,800,0.5
Centaur-Warrunner,Strength,23,3.8,15,2,15,1.6,300,3.1,1.7,55,57,128,0,0.3,0.5,1800,800,0.5
Chaos-Knight,Strength,20,2.9,14,2.1,16,1.2,325,3.96,1.7,49,79,128,0,0.5,0.4,1800,800,0.5
Chen,Intelligence,20,1.5,15,2.1,21,2.8,300,1.1,1.7,43,53,600,1100,0.5,0.3,1800,800,0.6
