% 1. Title: League of Legends | Champions | Level-18 Stats
%
% 2. Sources:
%	(a) Creator: Chong-U Lim (culim@mit.edu)
%	(b) Research Group: Imagination, Computation, and Expression Lab (http://icelab.mit.edu)
%	(c) Institution: Massachusetts Institute of Technology (http://mit.edu)
%	(d) League of Legends - Wikia (http://leagueoflegends.wikia.com/)
%	(e) Date: 2013-11-28 22:18:31.920455
%
@RELATION lol_champions_base

@ATTRIBUTE HP NUMERIC
@ATTRIBUTE HP+ NUMERIC
@ATTRIBUTE HP5 NUMERIC
@ATTRIBUTE HP5+ NUMERIC
@ATTRIBUTE MP NUMERIC
@ATTRIBUTE MP+ NUMERIC
@ATTRIBUTE MP5 NUMERIC
@ATTRIBUTE MP5+ NUMERIC
@ATTRIBUTE AD NUMERIC
@ATTRIBUTE AD+ NUMERIC
@ATTRIBUTE AS NUMERIC
@ATTRIBUTE AS+ NUMERIC
@ATTRIBUTE AR NUMERIC
@ATTRIBUTE AR+ NUMERIC
@ATTRIBUTE MR NUMERIC
@ATTRIBUTE MR+ NUMERIC
@ATTRIBUTE MS NUMERIC
@ATTRIBUTE Range NUMERIC
@ATTRIBUTE Name STRING

@DATA
395,85,5.75,0.5,30,45,0,0,55,3.2,0.651,3,14,3.8,30,1.25,345,150,"Aatrox"
380,80,5.5,0.6,230,50,6.25,0.6,50,3,0.668,2,11,3.5,30,0,330,550,"Ahri"
445,85,7.25,0.65,200,0,50,0,53,3.2,0.694,3.1,16.5,3.5,30,1.25,350,125,"Akali"
442,102,7.25,0.85,215,38,6.45,0.45,55.03,3.62,0.625,2.125,14.5,3.5,30,1.25,330,125,"Alistar"
472,84,7.45,0.85,220,40,6.5,0.525,47,3.8,0.638,2.18,18,3.3,30,1.25,335,125,"Amumu"
350,70,4.65,0.55,257,53,7.0,0.6,48,3.2,0.625,1.68,10.5,4,30,0,325,600,"Anivia"
384,76,4.5,0.55,250,50,6.9,0.6,48,2.625,0.579,1.36,8.5,4,30,0,335,625,"Annie"
395,79,4.5,0.55,173,35,6.3,0.4,46.3,2.85,0.658,4,11.5,3.4,30,0,325,600,"Ashe"
423,95,7.25,0.75,200,40,6.6,0.5,55.66,3.5,0.625,1.13,14.5,3.5,30,1.25,325,125,"Blitzcrank"
380,76,4.5,0.55,250,45,7.0,0.6,52,3,0.625,1.36,12,3.5,30,0,340,550,"Brand"
