% 1. Title: League of Legends | Champions | Level-18 Stats
%
% 2. Sources:
%	(a) Creator: Chong-U Lim (culim@mit.edu)
%	(b) Research Group: Imagination, Computation, and Expression Lab (http://icelab.mit.edu)
%	(c) Institution: Massachusetts Institute of Technology (http://mit.edu)
%	(d) League of Legends King - Champions (http://www.lolking.net/champions/)
%	(e) Date: 2013-11-30 13:39:45.599337
%
@RELATION lol_meta

@ATTRIBUTE RPCost NUMERIC
@ATTRIBUTE IPCost NUMERIC
@ATTRIBUTE Popularity NUMERIC
@ATTRIBUTE WinRate NUMERIC
@ATTRIBUTE BanRate NUMERIC
@ATTRIBUTE Meta {TopLane, Support, MiddleLane, Jungler, ADCarry}
@ATTRIBUTE Champion STRING

@DATA
975,6300,6.69,48.33,7.07,TopLane,"Aatrox"
975,6300,11.82,48.54,15.61,MiddleLane,"Ahri"
790,3150,7.62,50.67,0.42,MiddleLane,"Akali"
585,1350,5,44.47,0.07,Support,"Alistar"
585,1350,9.55,55.34,0.58,Jungler,"Amumu"
790,3150,1.66,47.25,0.11,MiddleLane,"Anivia"
260,450,21.86,49.45,18.22,MiddleLane,"Annie"
260,450,10.86,50.29,0.06,ADCarry,"Ashe"
790,3150,12.27,49.34,5.68,Support,"Blitzcrank"
880,4800,6.53,52.79,0.22,MiddleLane,"Brand"
880,4800,33.82,49.57,1.77,ADCarry,"Caitlyn"
440,4800,2.22,50.04,0.17,MiddleLane,"Cassiopeia"
585,1350,4.95,47.62,0.07,TopLane,"Cho'Gath"
790,3150,4.38,49.39,0.08,ADCarry,"Corki"
975,6300,6.88,48.62,0.16,TopLane,"Darius"
975,6300,5.82,48.51,0.05,MiddleLane,"Diana"
585,1350,4.07,50.13,2.01,Jungler,"Dr.Mundo"
975,6300,10.64,53.01,0.76,ADCarry,"Draven"
975,6300,10.66,47.34,31.86,TopLane,"Elise"
585,1350,9.51,49.84,37.38,MiddleLane,"Evelynn"
880,4800,23.67,47.71,0.36,ADCarry,"Ezreal"
585,1350,14.56,53.26,16.85,Jungler,"Fiddlesticks"
975,6300,4.89,51.86,0.44,TopLane,"Fiora"
975,6300,8.13,49.75,29.89,MiddleLane,"Fizz"
880,4800,1.12,51.23,0.15,MiddleLane,"Galio"
790,3150,3.88,47.07,0.08,TopLane,"Gangplank"
260,450,7.99,45.13,0.09,TopLane,"Garen"
790,3150,9.07,47.76,3.66,MiddleLane,"Gragas"
975,6300,6.51,49.17,0.06,ADCarry,"Graves"
975,6300,6.27,50.71,0.71,Jungler,"Hecarim"
790,3150,3.78,48.99,0.51,MiddleLane,"Heimerdinger"
880,4800,3.29,49.38,0.12,TopLane,"Irelia"
585,1350,8.8,48.82,0.22,Support,"Janna"
880,4800,14.7,51.97,8.57,Jungler,"JarvanIV"
585,1350,19.01,50.28,4.09,TopLane,"Jax"
975,6300,4.16,46.49,0.12,TopLane,"Jayce"
975,6300,20.52,51.72,1.92,ADCarry,"Jinx"
790,3150,3.18,46.08,0.16,Support,"Karma"
790,3150,1.79,47.65,0.18,MiddleLane,"Karthus"
790,3150,5.39,51.6,85.03,MiddleLane,"Kassadin"
790,3150,9.86,51.76,0.43,MiddleLane,"Katarina"
260,450,7.37,52.39,0.56,MiddleLane,"Kayle"
880,4800,4.41,49.09,0.29,MiddleLane,"Kennen"
975,6300,11.34,48.73,2.62,TopLane,"Kha'Zix"
880,4800,1.33,50.41,0.03,ADCarry,"Kog'Maw"
395,3150,7.51,45.73,2.86,MiddleLane,"LeBlanc"
880,4800,29.49,47.19,15.38,Jungler,"LeeSin"
880,4800,27.26,53.44,0.56,Support,"Leona"
975,6300,3.68,45.97,0.61,MiddleLane,"Lissandra"
975,6300,15.2,51.91,9.4,ADCarry,"Lucian"
975,6300,5.33,44.69,0.09,Support,"Lulu"
790,3150,18.13,50.65,0.49,MiddleLane,"Lux"
585,1350,9.09,50.81,0.39,TopLane,"Malphite"
880,4800,3.81,51.58,0.03,MiddleLane,"Malzahar"
880,4800,2.67,50.98,0.06,Jungler,"Maokai"
